model,kenmerk,correct_gem,fout_gem,p_waarde,significant
SVM,Uitroeptekens,0.00375,0.006134969325153374,0.5421821387466466,False
SVM,Vraagtekens,0.0275,0.014314928425357873,0.45877761839583875,False
SVM,Hoofdletterverhouding,0.0003339993315073267,0.0001733468106952507,0.165823259049935,False
SVM,URL aanwezig,0.01375,0.0081799591002045,0.36597596454457104,False
SVM,Woordaantal,19.61125,18.23926380368098,0.006022965460442884,True
LR,Uitroeptekens,0.005,0.00408997955010225,0.8164093795072895,False
LR,Vraagtekens,0.03,0.010224948875255624,0.09575981050403662,False
LR,Hoofdletterverhouding,0.0003339993315073267,0.0001733468106952507,0.165823259049935,False
LR,URL aanwezig,0.01375,0.0081799591002045,0.36597596454457104,False
LR,Woordaantal,19.43,18.535787321063395,0.1353456931598538,False
BERT,Uitroeptekens,0.006067961165048544,0.002150537634408602,0.32157805680594553,False
BERT,Vraagtekens,0.03155339805825243,0.0064516129032258064,0.014564587323154595,True
BERT,Hoofdletterverhouding,0.00033155274903623943,0.00016939051705371528,0.08503517261904864,False
BERT,URL aanwezig,0.014563106796116505,0.0064516129032258064,0.1925395848874597,False
BERT,Woordaantal,19.524271844660195,18.322580645161292,0.030298844891230203,True
